legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode,travelDuration,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
7a693d924c979eb3a7e329ace6416062,2022-04-16,2022-04-17,ATL,DTW,KA0QA0MQ,PT5H46M,0,FALSE,FALSE,FALSE,435.34,491.59,3,1358,1650197400||1650208500,2022-04-17T08:10:00.000-04:00||2022-04-17T11:15:00.000-04:00,1650202680||1650218160,2022-04-17T09:38:00.000-04:00||2022-04-17T13:56:00.000-04:00,MCO||DTW,ATL||MCO,Delta||Delta,DL||DL,Boeing 757-300||Boeing 757-300,5280||9660,399||959,coach||coach
b898a5f38e3a8d8127c67f1b243bf93e,2022-04-16,2022-04-17,ATL,DTW,KA0QA0MQ,PT6H18M,1,FALSE,FALSE,FALSE,435.34,491.59,9,1358,1650233700||1650246840,2022-04-17T18:15:00.000-04:00||2022-04-17T21:54:00.000-04:00,1650239220||1650256380,2022-04-17T19:47:00.000-04:00||2022-04-18T00:33:00.000-04:00,MCO||DTW,ATL||MCO,Delta||Delta,DL||DL,Boeing 757||Boeing 737-900,5520||9540,399||959,coach||coach
ad9077f966bdc73f21c62fc827e83b4a,2022-04-16,2022-04-17,ATL,DTW,KA0QA0MQ,PT6H41M,0,FALSE,FALSE,FALSE,435.34,491.59,3,1358,1650194100||1650208500,2022-04-17T07:15:00.000-04:00||2022-04-17T11:15:00.000-04:00,1650199320||1650218160,2022-04-17T08:42:00.000-04:00||2022-04-17T13:56:00.000-04:00,MCO||DTW,ATL||MCO,Delta||Delta,DL||DL,Boeing 757||Boeing 757-300,5220||9660,399||959,coach||coach
d0b7dbeb5dac54b7f7bb3cc3d4e30643,2022-04-16,2022-04-17,ATL,DTW,KA0QA0MQ,PT7H33M,1,FALSE,FALSE,FALSE,435.34,491.59,9,1358,1650229200||1650246840,2022-04-17T17:00:00.000-04:00||2022-04-17T21:54:00.000-04:00,1650234660||1650256380,2022-04-17T18:31:00.000-04:00||2022-04-18T00:33:00.000-04:00,MCO||DTW,ATL||MCO,Delta||Delta,DL||DL,||Boeing 737-900,5460||9540,399||959,coach||coach
f8a5b8100735ab3109023384c29dbbfe,2022-04-16,2022-04-17,ATL,DTW,KA0QA0MQ,PT9H55M,1,FALSE,FALSE,FALSE,435.34,497.19,1,1358,1650249900||1650276060,2022-04-17T22:45:00.000-04:00||2022-04-18T06:01:00.000-04:00,1650255120||1650285600,2022-04-18T00:12:00.000-04:00||2022-04-18T08:40:00.000-04:00,MCO||DTW,ATL||MCO,Delta||Delta,DL||DL,||Boeing 737-900,5220||9540,399||959,coach||coach
bdbfdcb26e75626aae39dd3edb658b20,2022-04-16,2022-04-17,ATL,DTW,KA0QA0MQ,PT10H48M,1,FALSE,FALSE,FALSE,435.34,497.19,1,1358,1650217500||1650246840,2022-04-17T13:45:00.000-04:00||2022-04-17T21:54:00.000-04:00,1650223020||1650256380,2022-04-17T15:17:00.000-04:00||2022-04-18T00:33:00.000-04:00,MCO||DTW,ATL||MCO,Delta||Delta,DL||DL,Boeing 757-200||Boeing 737-900,5520||9540,399||959,coach||coach
b67e5a5e2c73c219e108b37f73a0d87b,2022-04-16,2022-04-17,ATL,DTW,MA0QA0MQ,PT1H51M,1,FALSE,FALSE,TRUE,450.23,498.6,9,604,1650249780,2022-04-17T22:43:00.000-04:00,1650256440,2022-04-18T00:34:00.000-04:00,DTW,ATL,Delta,DL,Boeing 757-300,6660,604,coach
85e291ad6098d1d445c868ffad9ad278,2022-04-16,2022-04-17,ATL,DTW,MA0QA0MQ,PT1H52M,0,FALSE,FALSE,TRUE,450.23,498.6,9,604,1650223380,2022-04-17T15:23:00.000-04:00,1650230100,2022-04-17T17:15:00.000-04:00,DTW,ATL,Delta,DL,Airbus A321,6720,604,coach
f73c2c0f22459e29c9fcf25804b6a340,2022-04-16,2022-04-17,ATL,DTW,MA0QA0MQ,PT1H52M,0,FALSE,FALSE,TRUE,450.23,498.6,9,604,1650194100,2022-04-17T07:15:00.000-04:00,1650200820,2022-04-17T09:07:00.000-04:00,DTW,ATL,Delta,DL,Airbus A321,6720,604,coach
3e4bdfbaedb17796b6332559c499f48b,2022-04-16,2022-04-17,ATL,DTW,MA0QA0MQ,PT1H53M,0,FALSE,FALSE,TRUE,450.23,498.6,9,604,1650232500,2022-04-17T17:55:00.000-04:00,1650239280,2022-04-17T19:48:00.000-04:00,DTW,ATL,Delta,DL,Airbus A321,6780,604,coach
db968211d39ba8d54ce9533088af22fe,2022-04-16,2022-04-17,ATL,DTW,MA0QA0MQ,PT1H53M,0,FALSE,FALSE,TRUE,450.23,498.6,9,604,1650239100,2022-04-17T19:45:00.000-04:00,1650245880,2022-04-17T21:38:00.000-04:00,DTW,ATL,Delta,DL,Airbus A330-200,6780,604,coach
f63c248e1f1ff02c89f8d5d3db67106c,2022-04-16,2022-04-17,ATL,DTW,MA0QA0MQ,PT1H54M,0,FALSE,FALSE,TRUE,450.23,498.6,9,604,1650217200,2022-04-17T13:40:00.000-04:00,1650224040,2022-04-17T15:34:00.000-04:00,DTW,ATL,Delta,DL,Airbus A330-200,6840,604,coach
5c4d97528bbfaacb267fdf13320ea63b,2022-04-16,2022-04-17,ATL,DTW,MA0QA0MQ,PT1H54M,0,FALSE,FALSE,TRUE,450.23,498.6,9,604,1650200880,2022-04-17T09:08:00.000-04:00,1650207720,2022-04-17T11:02:00.000-04:00,DTW,ATL,Delta,DL,Airbus A321,6840,604,coach
e09556fe7dac9edf139e97c7336ba22a,2022-04-16,2022-04-17,ATL,DTW,MA0QA0MQ,PT1H55M,0,FALSE,FALSE,TRUE,450.23,498.6,9,604,1650207600,2022-04-17T11:00:00.000-04:00,1650214500,2022-04-17T12:55:00.000-04:00,DTW,ATL,Delta,DL,Boeing 737-900,6900,604,coach
9ba3ae844130f9b17fa62274ead69f58,2022-04-16,2022-04-17,ATL,DTW,LA0NX0MC,PT6H59M,1,FALSE,FALSE,FALSE,439.07,501.2,9,649,1650251400||1650273420,2022-04-17T23:10:00.000-04:00||2022-04-18T05:17:00.000-04:00,1650257700||1650276540,2022-04-18T00:55:00.000-04:00||2022-04-18T06:09:00.000-04:00,CLE||DTW,ATL||CLE,Delta||Delta,DL||DL,Airbus A321||Airbus A319,6300||3120,556||93,coach||coach
e2f5441df1d9f95283fda84cf021454c,2022-04-16,2022-04-17,ATL,DTW,UA0NX0MC,PT12H6M,0,FALSE,FALSE,FALSE,447.44,510.2,3,1402,1650198000||1650231660,2022-04-17T08:20:00.000-04:00||2022-04-17T17:41:00.000-04:00,1650203220||1650241560,2022-04-17T09:47:00.000-04:00||2022-04-17T20:26:00.000-04:00,TPA||DTW,ATL||TPA,Delta||Delta,DL||DL,Boeing 757-200||Airbus A321,5220||9900,408||994,coach||coach
63bcb6a9781297729de726025cef790e,2022-04-16,2022-04-17,ATL,DTW,KA0OX0MC,PT5H50M,0,FALSE,FALSE,FALSE,453.95,511.6,9,1402,1650198000||1650209400,2022-04-17T08:20:00.000-04:00||2022-04-17T11:30:00.000-04:00,1650203220||1650219000,2022-04-17T09:47:00.000-04:00||2022-04-17T14:10:00.000-04:00,TPA||DTW,ATL||TPA,Delta||Delta,DL||DL,Boeing 757-200||Boeing 757,5220||9600,408||994,coach||coach
fd2f2dcb557cf7f491fc89dba4249de9,2022-04-16,2022-04-17,ATL,DTW,KA0OX0MC,PT6H55M,0,FALSE,FALSE,FALSE,453.95,511.6,9,1402,1650194100||1650209400,2022-04-17T07:15:00.000-04:00||2022-04-17T11:30:00.000-04:00,1650199140||1650219000,2022-04-17T08:39:00.000-04:00||2022-04-17T14:10:00.000-04:00,TPA||DTW,ATL||TPA,Delta||Delta,DL||DL,Boeing 757||Boeing 757,5040||9600,408||994,coach||coach
fd39dd326b0ed8ccbfe66f833d0fc5fa,2022-04-16,2022-04-17,ATL,DTW,KA0OX0MC,PT7H27M,0,FALSE,FALSE,FALSE,453.95,511.6,4,1402,1650198000||1650214800,2022-04-17T08:20:00.000-04:00||2022-04-17T13:00:00.000-04:00,1650203220||1650224820,2022-04-17T09:47:00.000-04:00||2022-04-17T15:47:00.000-04:00,TPA||DTW,ATL||TPA,Delta||Delta,DL||DL,Boeing 757-200||Airbus A321,5220||10020,408||994,coach||coach
823ad8a481332a442c3b445cd9c71e89,2022-04-16,2022-04-17,ATL,DTW,QA0OX0MC,PT7H55M,0,FALSE,FALSE,FALSE,463.25,521.59,4,1358,1650201300||1650220140,2022-04-17T09:15:00.000-04:00||2022-04-17T14:29:00.000-04:00,1650206700||1650229800,2022-04-17T10:45:00.000-04:00||2022-04-17T17:10:00.000-04:00,MCO||DTW,ATL||MCO,Delta||Delta,DL||DL,Boeing 757||Boeing 757-300,5400||9660,399||959,coach||coach
